1603273800
OXXXX67OO/0,1/0,11/0,1/0,11/0,11/0,11/0,12/0,11/0,11/222257
OX3X56789/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1112039
1XXO5XO89/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/3426743
1XXO56789/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/17160019
1X3O5OX8X/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222131
12XXO6O8X/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/3431841
X2XXOOO8X/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/7513839
X23456X8O/0,11/0,11/0,13/0,13/0,13/0,13/0,08/0,046086006/0,1/1271745
XX345OX8O/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/222259
1234XOXXO/0,01/0,01/0,92/0,01/0,01/0,01/0,01/0,01/0,01/7940305
O2XO5X7X9/0,02/0,02/0,02/0,02/0,02/0,02/0,85/0,02/0,02/222132
O2XOXX7XO/0,02/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/222000
O2345X7X9/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1111296
1XO4XO78X/0,11/0,12/0,12/0,12/0,1/0,12/0,01/0,01/0,12/572134
1OXX56789/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1111360
1OXX567OX/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222437
XOXX56OOX/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/222616
12O4OXX8X/0,01/0,48/0,01/0,01/0,01/0,01/0,01/0,46/0,01/222303
O2O4OXXXX/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/742586
OXO4X6XOX/0,02/0,02/0,02/0,51/0,02/0,35/0,02/0,02/0,02/1294270
O234X6X89/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/1111439
OXO4X6X89/0,11/0,11/0,11/0,11/0,11/0,12/0,11/0,11/0,11/222574
X23X5O789/0,11/0,12/0,11/0,11/0,11/0,1/0,16/0,09/0,1/1110756
12O4X6XXO/0,01/0,48/0,01/0,01/0,01/0,92/0,01/0,01/0,01/3779879
1OO4XXXXO/0,85/0,02/0,02/0,03/0,02/0,02/0,02/0,02/0,02/222525
X2X45OO8X/0,07/0,46/0,06/0,07/0,08/0,06/0,05/0,05/0,09/222681
X23456O8X/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/1110375
123XOO7XX/0,02/0,02/0,02/0,02/0,02/0,02/0,86/0,02/0,02/1143813
OX3XOO7XX/0,02/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/1292401
1X34XO789/0,12/0,12/0,18/0,11/0,11/0,12/0,07/0,07/0,08/19376014
1X3OXOXOX/0,15/0,14/0,01/0,11/0,11/0,12/0,09/0,12/0,12/338994
1X3OXO78X/0,11/0,11/0,11/0,11/0,11/0,11/0,09/0,1/0,11/222153
X2345O78X/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1110677
X234OO7XX/0,01/0,01/0,01/0,05/0,01/0,01/0,89/0,01/0,01/1142446
XX34XOO89/0,11/0,12/0,14/0,11/0,12/0,11/0,12/0,07/0,07/3876539
12X4X67O9/0,07/0,07/0,07/0,07/0,07/0,07/0,07/0,07/0,92/2871145
X2X456O89/0,02/0,83/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1115925
XOXX56O89/0,01/0,01/0,01/0,01/0,47/0,01/0,01/0,01/0,46/222428
XOXX5XO8O/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,85/0,02/1292950
XOO4O6XXX/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/222868
12O456X8X/0,82/0,02/0,02/0,02/0,02/0,02/0,02/0,01/0,02/4116479
1OO456XXX/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/431548
1234OXX89/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1111365
O234OXX8X/0,08/0,09/0,3/0,08/0,09/0,09/0,09/0,09/0,08/221701
1OOX5X78X/0,45/0,01/0,01/0,01/0,48/0,01/0,01/0,01/0,01/222071
1XXX56OO9/0,05/0,05/0,04/0,03/0,04/0,05/0,04/0,05/0,92/987723
12XX56O89/0,08/0,08/0,08/0,08/0,08/0,08/0,08/0,39/0,08/1274611
1XX4OO78X/0,49/0,01/0,01/0,44/0,01/0,01/0,01/0,01/0,01/6159696
OXX4OO7XX/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/0,02/1292616
12X4O678X/0,13/0,13/0,13/0,13/0,13/0,06/0,07/0,07/0,13/21753499
O2O4XX7X9/0,02/0,85/0,02/0,02/0,02/0,02/0,02/0,02/0,02/221679
O234X67X9/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1112396
X23456XO9/0,1/0,12/0,11/0,1/0,19/0,1/0,1/0,11/0,01/21291128
X234XOXO9/0,12/0,12/0,11/0,12/0,12/0,12/0,12/0,12/0,05/3877537
XOXOXO7X9/0,02/0,02/0,02/0,02/0,02/0,02/0,82/0,02/0,02/222316
X23O567X9/0,02/0,02/0,02/0,02/0,83/0,02/0,02/0,02/0,02/1110070
X2XO5O7X9/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/221783
O23O5XXX9/0,1/0,11/0,11/0,11/0,12/0,1/0,11/0,11/0,13/222033
OOXO5XXX9/0,1/0,08/0,14/0,06/0,18/0,13/0,06/0,14/0,11/221841
OXX4567XO/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222447
OXX45OXXO/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/222105
1XX45678O/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,8965641/0,11/3163557
12OX5X789/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/1110351
XXOX5XOO9/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,92/688262
X2OX5X7O9/0,08/0,1/0,09/0,09/0,28/0,09/0,09/0,09/0,1/221717
XXOXO67OX/0,02/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/222817
